,Input,,,,,,Output
Number,Hole ,Hole Depth,Burden to Spacing,Stemming,Max Charge,Powder Factor,Flyrock Distance
of blast,Diameter (mm) ,(m),Ratio,(m),Per Delay (Kg),(kg/m3),(m)
1,75,10,0.40,1.8,47.7,0.5,75
2,75,10,0.40,1.8,47.7,0.6,80
3,75,10,0.44,2,47.7,0.55,84
4,75,11,0.42,2,53.0,0.5,90
5,75,11,0.42,1.4,53.0,0.45,67
6,75,12,0.42,1.4,58.3,0.55,97
7,75,12,0.42,1.4,58.3,0.5,86
8,75,12,0.42,1.4,58.3,0.6,99
9,75,12,0.42,1.5,58.3,0.6,105
10,75,12,0.47,2,58.3,0.6,109
11,75,14,0.53,1.5,68.9,0.6,135
12,75,14,0.55,1.5,68.9,0.5,107
13,75,16,0.53,1.9,79.5,0.5,158
14,75,16,0.53,3.2,79.5,0.75,152
15,75,16,0.49,3.4,79.5,0.74,192
16,75,16,0.57,1.5,79.5,0.7,157
17,75,16,0.42,2.1,79.5,0.85,163
18,75,17,0.58,2.3,84.8,0.55,169
19,75,18,0.54,3,90.1,0.75,161
20,75,18,0.52,2.85,90.1,0.71,186
21,75,20,0.41,1.7,100.7,0.5,120
22,75,20,0.56,1.7,100.7,0.85,170
23,75,20,0.57,1.7,100.7,0.65,140
24,75,20,0.50,1.5,100.7,0.95,186
25,75,21,0.43,1.6,106.0,0.55,119
26,75,21,0.67,1.6,106.0,0.8,168
27,75,22,0.67,2.5,111.3,0.9,176
28,75,22,0.75,1.5,111.3,0.6,131
29,75,23,0.86,3.5,116.6,0.8,176
30,75,24,0.50,1.5,121.9,0.7,162
31,75,26,0.79,2.4,132.5,0.75,164
32,75,26,0.91,2.6,132.5,0.89,200
33,75,28,0.81,2.9,143.1,0.75,190
34,75,28,0.81,1.6,143.1,0.5,142
35,89,10,0.83,1.6,67.2,0.9,155
36,89,10,0.76,1.6,67.2,0.85,156
37,89,10,0.71,1.6,67.2,0.95,149
38,89,12,0.81,2.7,82.1,0.8,160
39,89,12,0.88,2.8,82.1,0.7,141
40,89,12,0.83,2.9,82.1,0.65,133
41,89,12,0.79,2.6,82.1,0.5,117
42,89,12,0.80,2.5,82.1,0.55,120
43,89,12,0.82,2.1,82.1,1.1,189
44,89,12,0.80,1.4,82.1,0.75,138
45,89,12,0.63,1.5,82.1,0.75,146
46,89,13,0.62,1.8,89.6,0.5,114
47,89,13,0.81,2,89.6,0.7,145
48,89,13,0.77,2,89.6,0.7,156
49,89,14,0.77,1.9,97.0,0.7,170
50,89,14,0.85,2,97.0,0.7,163
51,89,14,0.76,2.2,97.0,0.6,126
52,89,14,0.76,2,97.0,0.63,173
53,89,16,0.51,2.9,112.0,0.55,132
54,89,16,0.58,2.7,112.0,0.65,149
55,89,17,0.49,2.8,119.4,0.6,142
56,89,17,0.69,2,119.4,0.75,171
57,89,18,0.58,2.2,126.9,1,192
58,89,18,0.60,3.5,126.9,0.75,180
59,89,18,0.60,3.4,126.9,0.8,178
60,89,20,0.68,1.8,141.8,0.9,189
61,89,20,0.50,2,141.8,0.55,145
62,89,21,0.50,2.9,149.3,0.7,159
63,89,21,0.50,2.8,149.3,0.75,155
64,89,21,0.50,1.7,149.3,0.85,187
65,89,22,0.50,3.5,156.8,0.55,147
66,89,22,0.51,3,156.8,0.55,151
67,89,22,0.51,3,156.8,0.6,157
68,89,23,0.51,2.3,164.2,0.65,162
69,89,23,0.51,3.1,164.2,0.9,189
70,89,23,0.69,2,164.2,1,209
71,89,24,0.67,2.6,171.7,0.95,202
72,89,24,0.56,2.9,171.7,0.8,193
73,89,24,0.56,2,171.7,0.55,161
74,89,24,0.56,2.7,171.7,0.9,184
75,89,24,0.76,2.8,171.7,1.1,223
76,89,26,0.43,2.9,186.6,0.6,157
77,89,26,0.78,2.5,186.6,0.8,188
78,89,26,0.78,3,186.6,0.65,167
79,89,26,0.88,2.4,186.6,0.7,174
80,89,26,0.85,3.2,186.6,1,219
81,89,27,0.87,3.4,194.1,1.1,243
82,89,27,0.84,3,194.1,0.5,156
83,89,27,0.88,3.5,194.1,0.7,181
84,89,27,0.81,2.5,194.1,0.6,175
85,89,27,0.76,2.6,194.1,0.8,190
86,89,27,0.68,3.2,194.1,0.9,199
87,89,27,0.68,3,194.1,0.85,181
88,89,27,0.81,3.1,194.1,0.95,204
89,89,28,0.81,2.6,201.6,0.8,187
90,89,28,0.52,2.9,201.6,0.6,162
91,89,28,0.52,2,201.6,0.7,166
92,89,28,0.52,2,201.6,0.85,190
93,89,28,0.52,2.9,201.6,0.55,150
94,89,28,0.52,2.5,201.6,0.65,170
95,89,28,0.52,3,201.6,0.85,198
96,89,28,0.52,3.3,201.6,0.85,183
97,115,10,0.52,2.6,112.2,0.75,155
98,115,10,0.52,2.7,112.2,0.85,156
99,115,10,0.52,2.6,112.2,0.5,149
